MW	Sv	Se	Mi	nAT	nSK	nBT	nBM	RBN	nDB	nTB	nAB	nH	nC	nN	nO	nS	nCL	nHM	nHet	nX	H%	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	nCIC	nR03	nR04	nR05	nR06	nR07	ARR	nCp	nCs	nCt	nCq	nCrs	nCrt	nCrq	nCar	nCbH	nCb-	nCconj	nR=Cp	nR=Cs	nR=Ct	nR#C-	nRCOOH	nRCOOR	nArCOOR	nRCHO	nArCHO	nRCO	nArCO	nArNH2	nArNHR	nRCN	nArNO2	nROH	nArOH	nOHp	nOHs	nOHt	nROR	nArOR	nSH	nOxiranes	nOxolanes	nFuranes	nPyridines	nHDon	nHAcc	Uc	Ui	Hy	TPSA(Tot)	MLOGP	SAtot
148.22	13.876	22.629	1.117	23	11	23	7	2	1	0	6	12	10	0	1	0	0	0	1	0	52.2	43.5	0.0	4.3	0.0	3	7	0	1	0	0	0	1	0	0.545	2	0	1	0	0	0	0	6	4	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.0	2.322	-0.877	17.07	2.723	239.749
150.19	13.064	21.073	1.119	21	11	21	7	2	1	0	6	10	9	0	2	0	0	0	2	0	47.6	42.9	0.0	9.5	0.0	1	8	0	1	0	0	0	1	0	0.545	0	0	0	0	0	0	0	6	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	3.0	2.322	-0.206	29.46	1.807	232.607
108.15	9.822	15.862	1.117	16	8	16	6	0	0	0	6	8	7	0	1	0	0	0	1	0	50.0	43.8	0.0	6.3	0.0	1	6	0	1	0	0	0	1	0	0.75	1	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2.807	2.0	-0.158	20.23	1.859	174.997
426.5	34.839	63.825	1.144	63	28	63	2	12	2	0	0	35	18	0	9	0	0	1	10	0	55.6	28.6	0.0	14.3	0.0	16	2	0	1	0	0	0	1	0	0.0	4	9	1	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	3	0	1	0	0	0	0	0	0	5	9	1.585	1.585	2.573	155.72	0.856	665.119
144.24	13.644	25.723	1.144	26	10	25	1	6	1	0	0	16	8	0	2	0	0	0	2	0	61.5	30.8	0.0	7.7	0.0	7	1	0	0	0	0	0	0	0	0.0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1.0	1.0	-0.161	37.3	2.972	269.337
128.24	12.929	24.396	1.141	25	9	24	1	6	1	0	0	16	8	0	1	0	0	0	1	0	64.0	32.0	0.0	4.0	0.0	7	1	0	0	0	0	0	0	0	0.0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	1.0	-0.848	17.07	3.041	248.939
124.15	10.537	17.189	1.122	17	9	17	6	1	0	0	6	8	7	0	2	0	0	0	2	0	47.1	41.2	0.0	11.8	0.0	1	6	0	1	0	0	0	1	0	0.667	0	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	2.807	2.0	-0.107	29.46	1.246	190.112
168.2	14.822	20.862	1.089	21	13	23	15	0	0	0	15	8	12	0	1	0	0	0	1	0	38.1	57.1	0.0	4.8	0.0	0	12	0	3	0	0	1	2	0	1.0	0	0	0	0	0	0	0	12	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4.0	3.087	-0.897	13.14	2.859	194.304
86.1	7.01	12.305	1.139	12	6	11	2	1	2	0	0	6	4	0	2	0	0	0	2	0	50.0	33.3	0.0	16.7	0.0	2	2	0	0	0	0	0	0	0	0.0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1.585	1.585	-0.614	34.14	-0.333	148.834
148.17	12.537	19.189	1.109	19	11	20	7	0	1	0	6	8	9	0	2	0	0	0	2	0	42.1	47.4	0.0	10.5	0.0	2	7	0	2	0	0	0	2	0	0.5	0	2	0	0	2	0	0	6	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3.0	2.322	-0.79	26.3	1.959	188.908
46.08	4.295	8.978	1.162	9	3	8	0	0	0	0	0	6	2	0	1	0	0	0	1	0	66.7	22.2	0.0	11.1	0.0	2	0	0	0	0	0	0	0	0	0.0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	0.638	20.23	-0.172	110.364
27.03	2.021	3.102	1.166	3	2	2	1	0	0	1	0	1	1	1	0	0	0	0	1	0	33.3	33.3	33.3	0.0	0.0	0	0	1	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.0	1.585	-0.315	23.79	-0.959	65.723
110.12	9.01	14.305	1.119	14	8	14	6	0	0	0	6	6	6	0	2	0	0	0	2	0	42.9	42.9	0.0	14.3	0.0	0	6	0	1	0	0	0	1	0	0.75	0	0	0	0	0	0	0	6	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	2.807	2.0	0.846	40.46	0.893	170.356
117.16	10.602	15.753	1.109	16	9	17	10	0	0	0	10	7	8	1	0	0	0	0	1	0	43.8	50.0	6.3	0.0	0.0	0	8	0	2	0	0	1	1	0	1.0	0	0	0	0	0	0	0	8	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3.459	2.585	-0.213	15.79	1.834	148.558
32.05	2.768	6.095	1.173	6	2	5	0	0	0	0	0	4	1	0	1	0	0	0	1	0	66.7	16.7	0.0	16.7	0.0	1	0	0	0	0	0	0	0	0	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0.0	0.0	1.262	20.23	-0.814	82.598
